tick,total_rumor_spreaders,new_rumor_spreaders,time
0,5,5,442
1,6,1,442
2,6,0,442
3,6,0,442
4,6,0,442
5,6,0,442
6,9,3,442
7,11,2,442
8,12,1,442
9,14,2,442
10,14,0,442
11,16,2,442
12,19,3,442
13,21,2,442
14,25,4,442
15,26,1,442
16,27,1,442
17,30,3,442
18,32,2,442
19,35,3,442
20,36,1,442
21,37,1,442
22,40,3,442
23,42,2,442
24,43,1,442
25,45,2,442
26,47,2,442
27,48,1,442
28,50,2,442
29,52,2,442
30,52,0,442
31,53,1,442
32,55,2,442
33,56,1,442
34,58,2,442
35,58,0,442
36,58,0,442
37,61,3,442
38,63,2,442
39,64,1,442
40,67,3,442
41,69,2,442
42,75,6,442
43,78,3,442
44,80,2,442
45,87,7,442
46,92,5,442
47,94,2,442
48,97,3,442
49,103,6,442
50,106,3,442
51,113,7,442
52,113,0,442
53,117,4,442
54,120,3,442
55,121,1,442
56,125,4,442
57,126,1,442
58,127,1,442
59,129,2,442
60,133,4,442
61,139,6,442
62,140,1,442
63,144,4,442
64,148,4,442
65,151,3,442
66,155,4,442
67,157,2,442
68,163,6,442
69,169,6,442
70,173,4,442
71,177,4,442
72,183,6,442
73,185,2,442
74,189,4,442
75,194,5,442
76,198,4,442
77,203,5,442
78,208,5,442
79,211,3,442
80,213,2,442
81,224,11,442
82,226,2,442
83,227,1,442
84,233,6,442
85,237,4,442
86,241,4,442
87,247,6,442
88,254,7,442
89,259,5,442
90,266,7,442
91,270,4,442
92,275,5,442
93,279,4,442
94,280,1,442
95,288,8,442
96,295,7,442
97,301,6,442
98,306,5,442
99,307,1,442
100,311,4,442
